GivenName,Surname,City,StreetAddress,CountryFull,Birthday,Age,TelephoneNumber,NationalID
Milena,Lucciano,Torino,"Via Enrico Fermi 104",Italy,8/10/1963,58,"0337 3015330",QV45024001
Loredana,Trentino,Furtei,"Via del Viminale 120",Italy,4/8/1986,35,"0334 8272442",ZZ25983719
Ortensia,Iadanza,Urgnano,"Via Lombardi 116",Italy,5/30/1993,28,"0338 6924159",RY94412343
Leonardo,Piazza,Percile,"Via Longhena 62",Italy,12/23/1973,47,"0326 7648776",XQ99667441
Amilcare,Romano,"Chiusa San Michele","Via Giberti 108",Italy,6/20/1959,62,"0346 9149001",LB22180552
Angelina,Longo,Lobbi,"Via delle Azalee 26",Italy,11/1/1980,41,"0388 0246226",NC44206574
Nestore,Romano,Sorano,"Piazza Cardinale Riario Sforza 9",Italy,7/10/1949,72,"0389 7080368",SG87631720
Bruno,Romani,Masserano,"Strada Statale 64",Italy,7/2/1984,37,"0320 7099323",NM79322075
Biagio,Cocci,Roma,"Via Belviglieri 81",Italy,2/14/1948,73,"0390 5221433",HO78065263
Isidoro,Bellucci,Ponna,"Viale Ippocrate 121",Italy,6/30/1964,57,"0367 4528290",VM22852830
Raul,Gallo,Raffaelina,"Via Torino 39",Italy,8/24/1955,66,"0311 0309542",GV73774993
Tamara,Bellucci,Argegno,"Via Torre di Mezzavia 96",Italy,3/30/1943,78,"0332 9415846",HN47489714
Alvise,Barese,Isoletta,"Corso Garibaldi 150",Italy,8/17/1991,30,"0342 9589069",CH19685757
Cornelia,Pinto,"Orsara Di Puglia","Via Foria 110",Italy,3/24/1963,58,"0331 7345212",CQ43571954
Remigio,Endrizzi,"San Giovanni In Galdo","Via delle Mura Gianicolensi 44",Italy,6/19/1977,44,"0369 4626169",RE78274264
Lisandro,Fallaci,"Castelletto Di Leno","Largo Febo 144",Italy,8/15/1965,56,"0329 6912576",WO32882066
Luigi,Piccio,"Saviore Dell'Adamello","Via del Mascherone 103",Italy,6/19/2002,19,"0344 9029235",HI82494034
Rodrigo,Barese,Piccianello,"Via Domenico Morelli 148",Italy,7/4/1936,85,"0398 3429557",NY54073730
Sandro,Gallo,"Moschetta Di Locri","Via Antonio da Legnago 57",Italy,1/13/2004,17,"0349 5936094",AM66113136
Galeazzo,Bruno,Collepietro,"Via Raffaele Conforti 34",Italy,8/4/2006,15,"0379 4712696",JX52507684
Adelinda,Pagnotto,Funes,"Via San Domenico 64",Italy,9/8/1947,74,"0318 2598969",UN91132390
Cristina,Schiavone,Quinzano,"Via Giotto 17",Italy,12/17/1932,88,"0329 7479997",WX60740908
Natale,"Lo Duca","Serravalle All'Adige","Via Zannoni 117",Italy,7/25/1942,79,"0329 6080765",DW82296472
Camelia,Beneventi,Riofreddo,"Via Belviglieri 59",Italy,7/12/1942,79,"0390 1060761",NO70238055
Bacco,Dellucci,Fossalon,"Via Medina 86",Italy,4/7/1996,25,"0327 5256184",HW94220280
Isaia,Cattaneo,Castroreale,"Via San Domenico Soriano 115",Italy,8/10/1968,53,"0366 8199111",CD5792060
Vera,Piazza,"Santa Maria Del Tempio","Via Acrone 129",Italy,7/8/1949,72,"0315 2405707",SO73201139
Marco,Fanucci,"Chiusa San Michele","Via Giberti 5",Italy,1/28/1970,51,"0383 9824660",OS25343512
Petronilla,"Lo Duca","Diano Arentino","Piazza Cardinale Riario Sforza 109",Italy,10/5/1931,90,"0368 9289437",DP65341451
Alcide,Ferrari,Torino,"Via Enrico Fermi 8",Italy,3/19/1944,77,"0315 4862658",XI67916106
Licia,Lucchese,Jacurso,"Piazza della Repubblica 73",Italy,3/26/1981,40,"0360 2749375",HB84645378
Eva,Greece,"Romagnano Sesia","Via Donnalbina 49",Italy,1/13/1932,89,"0313 6956942",HD91773206
Alvaro,DeRose,Mottola,"Strada Bresciana 45",Italy,1/24/1956,65,"0339 0146690",MJ50610789
Rolando,Fiorentino,Mosio,"Via Galileo Ferraris 50",Italy,7/24/1965,56,"0341 9942547",CW64169665
Deborah,Greece,Genova,"Via Agostino Depretis 8",Italy,12/8/1997,23,"0376 5251643",RB16863177
Elsa,Bergamaschi,Spinoso,"Piazza Mercato 103",Italy,11/7/1930,91,"0346 7993612",FM31413869
Gaetano,Mazzi,"Asta Nell'Emilia","Via Giulio Camuzzoni 86",Italy,5/18/1989,32,"0314 7261579",PM85857089
Giuliano,Castiglione,Bondanello,"Via Galileo Ferraris 132",Italy,3/11/1948,73,"0373 5429049",GK84389667
Arduino,Trevisani,"Godega Sant'Urbano","Vicolo Tre Marchetti 131",Italy,10/22/1949,72,"0393 4484534",PS14875784
"Lara ",Rossi,Prascorsano,"Via Volto San Luca 99",Italy,1/11/1959,62,"0386 6082817",HB32213625
Dionisia,Sabbatini,Verona,"Via Rocca de Baldi 63",Italy,4/21/1961,60,"0369 3818924",XI29139345
Pancrazio,Mancini,"Termini Imerese","Via Genova 117",Italy,6/4/1982,39,"0314 9537761",PR6116141
Verdiana,Dellucci,"San Costantino Calabro","Via Rocca de Baldi 67",Italy,12/7/2010,10,"0320 5060362",MS95799449
Concetta,Lorenzo,"San Polo Di Piave","Via Nizza 63",Italy,3/27/1930,91,"0310 8778276",ZF56239449
Ortensia,Gallo,"Grazzano Badoglio","Via Roma 41",Italy,6/4/2010,11,"0312 2551330",SC60523039
Lidia,Endrizzi,Spessa,"Vico Giganti 12",Italy,6/11/1975,46,"0313 8209608",QN16012983
Mattia,Napolitani,"Lugnano In Teverina","Stradone Antonio Provolo 96",Italy,5/1/2007,14,"0312 0124472",CV65216684
Ornella,Pagnotto,Osiglia,"Via Scala 65",Italy,10/26/1966,55,"0354 6102800",EG4909858
Maia,"Li Fonti",Saluzzo,"Via Moiariello 149",Italy,3/13/1935,86,"0313 9774643",XR2225812
"Palmira ",Panicucci,Lucernate,"Via Nazario Sauro 72",Italy,2/2/1958,63,"0323 8201661",UU3133799
Gilberto,Lori,Costalissoio,"Corso Alcide De Gasperi 116",Italy,9/5/1933,88,"0339 3614743",FX88758335
Violanda,Ricci,"Quinto Di Treviso","Via Nizza 47",Italy,8/4/1960,61,"0364 4871101",BV52189491
Fernanda,Lombardo,Cinquefrondi,"Via Antonio da Legnago 127",Italy,3/6/1984,37,"0340 2752278",OX9363154
"Sabina ",Fiorentini,Solopaca,"Via Piccinni 150",Italy,5/20/1991,30,"0384 3478561",WH12841581
Marta,Marchesi,Casale,"Via delle Mura Gianicolensi 103",Italy,12/28/2007,13,"0375 2236333",EF30092299
Geraldo,"De Luca",Fossalon,"Via Medina 32",Italy,4/25/1935,86,"0313 3280949",EB86490269
Santo,Genovese,Paese,"Via Nizza 73",Italy,7/14/1930,91,"0370 9779940",HF37451967
Benvenuto,Romani,"San Leucio","Via Varrone 79",Italy,4/12/1994,27,"0340 0729803",TD82725268
Arianna,Loggia,Cadipietra,"Via Alessandro Farnese 103",Italy,4/24/1965,56,"0374 3614781",ZO73768767
Fiammetta,Cattaneo,Cavalcaselle,"Via Gaetano Donizetti 47",Italy,4/11/1945,76,"0336 9474919",ZT58917472
Ottone,Mazzi,Soccher,"Via Nicolai 80",Italy,9/7/1979,42,"0376 5546178",MA27112978
Maia,Moretti,Ameglio,"Via delle Mura Gianicolensi 39",Italy,1/22/1953,68,"0360 4102124",RE72609062
Valentina,Pugliesi,Mareto,"Via Torino 29",Italy,3/1/1998,23,"0396 5691790",FN8715121
Prospero,Gallo,Lumarzo,"Via Matteo Schilizzi 147",Italy,4/1/2000,21,"0313 5605358",XI18749100
Lamberto,Costa,Pilastro,"Via Sedile di Porto 126",Italy,3/1/1942,79,"0393 0939392",TW26789657
Cristiano,Milani,"San Siro","Via Santa Maria di Costantinopoli 128",Italy,10/20/1939,82,"0382 5953422",DZ21267795
Marino,Cremonesi,"San Briccio","Via Giotto 106",Italy,9/13/2000,21,"0334 1184294",ZW64351207
Frida,Palerma,Pezzaze,"Via dei Serpenti 22",Italy,3/1/1932,89,"0336 0988550",PG83682289
Rossana,Gallo,"Oliveto Citra","Vicolo Cieco Fondachetto 96",Italy,1/30/1949,72,"0391 0583504",EV31760769
Eleuterio,Pugliesi,"Paola Santuario","Via Venezia 106",Italy,3/20/2009,12,"0381 8796940",JG77334206
Cipriano,Giordano,Temu,"Via del Mascherone 142",Italy,2/11/1996,25,"0341 5534570",ZI85308373
Rosarmosario,Mazzi,Casigliano,"Stradone Antonio Provolo 77",Italy,5/1/1952,69,"0371 1852814",YF35454334
Lealdo,Bruno,Beverino,"Via Nolana 56",Italy,1/20/1940,81,"0384 2657470",EZ51659696
Aloisia,Milano,Basiglio,"Via Palermo 135",Italy,8/29/1953,68,"0360 3864329",UA4216862
Annunziata,Greco,Bersezio,"Via Francesco Saverio Correra 42",Italy,9/28/1991,30,"0314 3020875",AZ16842664
Dante,Iadanza,Oricola,"Via Catullo 9",Italy,10/5/1931,90,"0383 3824248",UG28478322
Catone,Genovese,Fascia,"Via Agostino Depretis 137",Italy,6/29/1934,87,"0339 5281709",HI16184957
Eduardo,Ricci,Cogliate,"Via Nazario Sauro 150",Italy,4/20/1949,72,"0346 4403097",TU98603001
Tecla,Conti,Chiaverano,"Via Giberti 82",Italy,7/6/1964,57,"0357 8323073",FQ7372653
Benilde,Fiorentino,Terrati,"Via Alfredo Fusco 93",Italy,1/23/1999,22,"0332 5435273",VV49474628
Alba,Lorenzo,"Albano Vercellese","Via Antonio Cecchi 83",Italy,2/28/2009,12,"0359 7414734",HH87966303
Natascia,Milano,"Cosola Di Cabella","Via delle Azalee 144",Italy,2/28/1996,25,"0332 2100277",EF75956964
Cesarina,Fiorentini,"Borgo Lupo","Via Varrone 4",Italy,10/30/1978,43,"0389 2896547",RN62189958
Fernando,Fiorentino,Puegnago,"Via dei Serpenti 42",Italy,10/18/2000,21,"0369 1112085",UO79552141
Germana,Romano,Chiaserna,"Via Silvio Spaventa 69",Italy,9/23/1975,46,"0357 0881496",MU61963004
"Wanda ",Sagese,Baucina,"Via Santa Teresa degli Scalzi 46",Italy,2/12/1935,86,"0377 3194633",NX64832904
Fiammetta,Manna,"Case San Martino","Via Pisanelli 87",Italy,10/11/1946,75,"0391 6369883",XW78823856
Marianna,Loggia,"Gagliano Aterno","Via Catullo 130",Italy,5/6/1959,62,"0347 5566730",MP4040475
Raniero,Siciliani,Dignano,"Via Bonafous Alfonso 28",Italy,2/6/1977,44,"0358 1119925",SS1057996
Leda,"Li Fonti","Castellaro De' Giorgi","Via Alessandro Manzoni 92",Italy,8/2/1998,23,"0371 5537936",KY66187383
"Fabiana ",Russo,Custoza,"Via Gaetano Donizetti 58",Italy,10/14/1957,64,"0391 4243727",FV25212024
Sante,Padovano,Bairo,"Via Adua 49",Italy,6/21/1965,56,"0392 9505707",ZQ28610403
Fedra,Folliero,Cesinali,"Via Licola Patria 46",Italy,12/24/1932,88,"0387 8495276",ZZ11991213
Boris,Angelo,Monteciccardo,"Via Stadera 140",Italy,10/26/1971,50,"0394 1228506",NS74231509
Averardo,Longo,"Ceresole Reale","Via Giberti 123",Italy,5/8/1973,48,"0369 5072443",QD24485900
Ciro,Cremonesi,Ceres,"Via Giberti 98",Italy,6/4/1959,62,"0340 6293252",LJ57861685
Annibale,Lorenzo,Pracchia,"Corso Vittorio Emanuale 7",Italy,1/21/1977,44,"0337 2464906",LQ14481833
Antonio,Trentini,Percile,"Via Longhena 41",Italy,10/17/1994,27,"0384 0703161",JU37684640
Liberio,Arcuri,"Godega Sant'Urbano","Vicolo Tre Marchetti 15",Italy,4/15/1976,45,"0310 8324436",ID33573898
Virgilia,Padovesi,Traona,"Strada Bresciana 150",Italy,3/15/1995,26,"0339 7529692",EQ87943482
Cristian,Palermo,"Bene Vagienna","Via Francesco Saverio Correra 131",Italy,6/28/2003,18,"0377 1824691",GV70207729
Affiano,Pagnotto,Ottana,"Corso Novara 82",Italy,2/13/1957,64,"0384 9741559",PB85350325
Amedeo,Mazzi,"Monticello Dell'Amiata","Corso Vittorio Emanuele 94",Italy,9/25/1966,55,"0349 1119756",SD78173349
Viola,Rossi,Bozzolo,"Via Galileo Ferraris 31",Italy,1/27/1949,72,"0317 0970095",EH28872446
Fioretta,Greco,Buscemi,"Via Santa Teresa 56",Italy,9/8/1981,40,"0395 2549664",NR3586460
Ildebrando,Udinesi,Monfalcone,"Via Medina 44",Italy,4/17/1965,56,"0386 9406034",VO13648582
Lucius,Boni,Biserno,"Via Foria 7",Italy,8/22/1931,90,"0331 9065112",IF67104427
Mara,Schiavone,Rifiano,"Via di Santa Melania 32",Italy,3/1/1931,90,"0334 1159104",MH96303800
Ilaria,Zetticci,"Terra Del Sole","Via Partenope 69",Italy,4/9/2007,14,"0334 0920182",WL68853695
Lina,Trevisani,Romagnano,"Via Giotto 145",Italy,9/2/1942,79,"0312 8502431",LV81423144
Alfredo,Pugliesi,Crocefieschi,"Via Agostino Depretis 143",Italy,10/23/1962,59,"0332 7236635",FA35008293
Vincenza,Romano,Lona,"Via Torricelli 76",Italy,2/13/1963,58,"0385 2084303",RM90005927
Maura,Fiorentini,Montenerodomo,"Via Torre di Mezzavia 34",Italy,12/14/1943,77,"0318 9613328",ZJ15738082
Adelmo,Napolitano,Fabrizia,"Via Rocca de Baldi 94",Italy,10/28/2006,15,"0365 9736228",SF86535148
Franco,Capon,Monterocchetta,"Via Piccinni 100",Italy,12/27/1989,31,"0357 1341072",ZE71234090
Cesare,Bergamaschi,"Canneto Di Monteverdi","Via Sergente Maggiore 50",Italy,12/8/1961,59,"0346 9080961",JG93497706
Nazzareno,Lucchesi,Mignanego,"Via Matteo Schilizzi 126",Italy,4/10/1959,62,"0398 3014737",JK71667688
Camillo,Arcuri,"Cosio Stazione","Via Leopardi 111",Italy,12/24/1933,87,"0369 3804791",ER92798563
Silvana,Romani,"Moso In Passiria","Via di Santa Melania 119",Italy,6/20/1968,53,"0397 3446231",ZG48253713
Alessandra,Sal,Rovescala,"Vico Giganti 44",Italy,9/15/1985,36,"0399 9917259",HM8114780
Macario,Longo,Arvier,"Via delle Viole 41",Italy,3/6/1932,89,"0399 9651038",GC94816840
Adelaide,Pisani,Cannuzzo,"Piazza Mercato 127",Italy,8/31/1961,60,"0350 7989079",VT13008557
Franca,Milani,Roma,"Via Belviglieri 30",Italy,11/22/2006,15,"0386 4388225",QF96311183
Milena,Rizzo,Cerri,"Discesa Gaiola 144",Italy,3/24/1934,87,"0334 2377075",EA25815163
Germana,Russo,"Castions Di Strada","Via Bonafous Alfonso 26",Italy,7/20/1934,87,"0369 6394410",UK11661782
Romola,Esposito,Ripalta,"Via Foria 15",Italy,1/5/1980,41,"0311 1245574",GE69288342
Sofia,Cremonesi,Buonvicino,"Via Castelfidardo 39",Italy,11/14/1944,77,"0389 4184832",OR61487423
Regina,"Li Fonti",Flaibano,"Via Paolo Gaidano 134",Italy,5/9/1983,38,"0360 2073658",AE8632941
Consuelo,Padovano,"Cesano Maderno","Via Nazario Sauro 105",Italy,11/1/1948,73,"0329 3783114",TG88992452
Remo,Udinese,"Gagliano Del Capo","Viale Augusto 118",Italy,9/27/1984,37,"0370 5101896",KE3287750
Bellino,Lorenzo,"Barbarano Vicentino","Lungodora Napoli 54",Italy,10/15/1943,78,"0313 1246358",VG28275222
Maura,Napolitani,Campodoro,"Via Francesco Girardi 53",Italy,10/13/1932,89,"0367 8323976",KP85170301
Elvira,Fiorentini,Mozzagrogna,"Via Torre di Mezzavia 90",Italy,2/16/1933,88,"0363 5515112",EN43418335
Lanfranco,Trevisani,"Rocca Di Capri Leone","Via Nuova del Campo 109",Italy,3/30/1979,42,"0386 8527152",MO91597559
Dorotea,Pisani,Spello,"Via Silvio Spaventa 62",Italy,7/3/1989,32,"0328 4472033",MD10344364
Greta,Trentini,Orgosolo,"Corso Novara 119",Italy,12/8/2005,15,"0344 9108497",GH56540912
Giorgio,Bellucci,Baraggia,"Via Sacchi 3",Italy,4/28/1969,52,"0338 8655184",OW40239183
Curzio,Milano,Roccafinadamo,"Via Domenico Morelli 131",Italy,8/16/1988,33,"0320 9905275",AL41957986
Guarino,Ferrari,"Bassano In Teverina","Via Lagrange 67",Italy,6/26/1955,66,"0370 1982801",YB0799042
Oscar,Trentino,Vinadio,"Via Moiariello 55",Italy,3/5/1959,62,"0382 7469835",JD25985423
Alice,Greco,"Villa Pedergnano","Via del Mascherone 20",Italy,8/9/1932,89,"0334 2491744",AI57156181
Rufina,Siciliani,"Pian Di Pieca","Piazza Guglielmo Pepe 94",Italy,12/26/1998,22,"0357 3254843",BI89933318
Tranquillo,Endrizzi,Torino,"Via Enrico Fermi 99",Italy,12/6/1966,54,"0322 1836731",JJ76010652
Berardo,Lucchesi,Lucca,"Via Melisurgo 5",Italy,3/12/1993,28,"0327 2331095",DB65322949
Luana,Bianchi,Suaredda,"Via Croce Rossa 131",Italy,5/25/1995,26,"0311 6423277",QP96984563
Nilde,Mazzanti,Veruno,"Via Donnalbina 98",Italy,9/9/1984,37,"0340 4552638",XP37151807
Pancrazio,Trevisan,Salurn,"Via di Santa Melania 43",Italy,7/9/1990,31,"0326 6391796",TE39985999
Ambrosino,Schiavone,Uta,"Via degli Aldobrandeschi 116",Italy,5/1/1938,83,"0394 4553472",PY46955363
Cassandra,Davide,Acquafredda,"Via Miguel de Cervantes 39",Italy,12/27/1995,25,"0379 5042628",LL77823866
Adalgisio,Angelo,"Sesto Fiorentino","Via Nuova Agnano 100",Italy,11/20/1932,89,"0333 0585130",BD77663597
Belinda,Manfrin,Bornato,"Via Capo le Case 98",Italy,1/24/1972,49,"0390 0246201",JY73074525
Callimaco,Palerma,Marcellano,"Via Santa Lucia 136",Italy,1/24/2001,20,"0384 3715385",LI8260471
Gandolfo,Sagese,Casigliano,"Stradone Antonio Provolo 79",Italy,1/29/1933,88,"0391 1984159",YX35901932
Maddalena,"Lo Duca",Salto,"Via Giacinto Gigante 112",Italy,7/14/1985,36,"0362 8496659",ME52383725
Geraldina,Greece,Roncanova,"Via Giotto 124",Italy,11/21/1951,70,"0395 8301245",WJ21311280
Raul,Rizzo,Groppoducale,"Via Torino 150",Italy,3/16/1987,34,"0316 9754913",WE36393871
Rossana,Lorenzo,"Gazoldo Degli Ippoliti","Via Galileo Ferraris 17",Italy,5/3/1959,62,"0313 9538284",UX75604137
Leopoldo,Ferrari,Sacco,"Piazzetta Scalette Rubiani 99",Italy,10/19/1930,91,"0371 2166162",QM42201490
Saverio,Pugliesi,Flero,"Largo Febo 8",Italy,4/13/1991,30,"0338 2436952",KM5448154
Emanuele,DeRose,"Santa Maria Del Giudice","Via Melisurgo 135",Italy,6/30/1937,84,"0379 0936099",ZT48292460
Giovanna,Giordano,"San Cassiano Di Lecce","Via Antonio Beccadelli 122",Italy,7/14/1953,68,"0364 0465212",DE25297286
Sandra,Fallaci,Colazza,"Via Nicola Mignogna 77",Italy,8/15/1951,70,"0357 9160602",NP33693579
Berenice,Monaldo,Casoni,"Corso Porta Nuova 10",Italy,2/14/1998,23,"0390 8112222",AV71307597
Nilde,Romani,"Casorate Sempione","Via Corio 10",Italy,12/14/1987,33,"0392 4483689",VH46158015
Arturo,Pisano,Monteparano,"Strada Bresciana 102",Italy,3/3/1944,77,"0339 1424863",OZ37467306
Donnino,Ferrari,Crocette,"Via Giulio Petroni 44",Italy,7/13/1973,48,"0345 3096376",UF14995928
Candido,Nucci,"Val Di Vizze","Via Capo le Case 51",Italy,4/17/1948,73,"0363 1189325",OH26291460
Angelina,Giordano,Mormanno,"Via Venezia 125",Italy,1/10/1950,71,"0371 4648832",SZ13564414
Luigina,Davide,"Salice D'Ulzio","Via Enrico Fermi 45",Italy,7/25/1997,24,"0375 2950528",EN38452705
Orestilla,Boni,Ingria,"Via Giberti 77",Italy,2/15/1937,84,"0388 9480361",XH8224948
Dalila,Mazzi,Montallegro,"Via del Piave 150",Italy,10/1/1950,71,"0334 8220249",XJ44632599
Olimpia,Costa,Lesignana,"Piazza Bovio 139",Italy,6/15/1943,78,"0397 8865638",OM29620559
Erica,Panicucci,"Treviso Bresciano","Via del Mascherone 44",Italy,11/23/1932,89,"0395 2483094",RM65496456
Roberta,Folliero,Ramodipalo,"Via Valpantena 118",Italy,10/3/1998,23,"0313 1901060",CJ8978441
Gustavo,Onio,Briatico,"Via Rocca de Baldi 45",Italy,7/7/1942,79,"0344 6436736",XQ74693640
Costantino,Cocci,"Civita Castellana Stazione","Via Lagrange 15",Italy,3/30/1938,83,"0313 1677275",XV94881100
Frediano,Lucchesi,Fondra,"Via Giulio Petroni 76",Italy,9/26/1932,89,"0395 7198124",AO37838436
Procopio,Piazza,"San Silvestro","Via Pisanelli 139",Italy,1/31/1941,80,"0385 5911846",MS36329832
Colombano,Lucchese,Pinarella,"Via Pisanelli 140",Italy,5/5/1943,78,"0381 9168077",YG17847793
Indro,Napolitani,"Villa Garibaldi","Via Santa Maria di Costantinopoli 135",Italy,3/4/1933,88,"0364 7630617",II77008666
Prisca,Greco,Cerasomma,"Via Bologna 92",Italy,11/29/1994,26,"0399 6406713",SU60550838
Filippo,Napolitani,Villabate,"Via Genova 111",Italy,11/4/1996,25,"0329 0297563",AP30638371
Fausto,Palermo,Concesio,"Largo Febo 52",Italy,10/23/1963,58,"0348 8063506",YZ20623247
Fabrizia,Lucciano,Vallefiorita,"Via Piave 92",Italy,4/25/1976,45,"0399 6672540",VW42874270
Abelino,Greco,"San Nicolo' Di Comelico","Via Nicolai 86",Italy,11/12/1985,36,"0378 1486822",XM12972954
Isaia,Colombo,"Ogliastro Marina","Vicolo Cieco Fondachetto 1",Italy,5/22/1947,74,"0372 8287303",NE74220053
Neera,Sagese,Caronia,"Via San Domenico Soriano 55",Italy,9/3/1957,64,"0329 0822129",ET21887670
Alfonsino,Trentino,Riccione,"Via Goffredo Mameli 13",Italy,8/5/2011,10,"0396 8855743",WW98593098
Elena,Iadanza,Romagnano,"Corso Porta Borsari 118",Italy,10/13/1945,76,"0383 1493570",IP31995375
Lia,Moretti,"Parrana San Martino","Via Duomo 147",Italy,6/5/2009,12,"0327 8575269",FE68310859
Raffaella,Lucciano,Capriglia,"Via Rosmini 19",Italy,10/19/1982,39,"0374 0670847",HK86555068
Terzo,Baresi,Albavilla,"Via Torre di Mezzavia 85",Italy,4/25/1985,36,"0365 3768773",YO73502518
Cassandra,Padovano,Casalbellotto,"Via Alfredo Fusco 49",Italy,11/14/1976,45,"0383 1927670",QL60532358
Eugenia,Romano,"Almenno San Bartolomeo","Strada Provinciale 65 89",Italy,12/13/1930,90,"0339 4022177",UC90509571
Olinto,Rossi,Gratteri,"Via Santa Teresa degli Scalzi 7",Italy,4/14/1973,48,"0389 9479596",DP39339281
Edvige,Pugliesi,Arlesega,"Via Francesco Girardi 135",Italy,11/1/1930,91,"0349 4346325",KJ14434665
Cristian,Marino,"La Rotta","Via Sergente Maggiore 44",Italy,12/7/1941,79,"0349 1741583",MB23844733
Simonetta,Napolitano,"Motta Santa Lucia","Piazza della Repubblica 67",Italy,8/6/1947,74,"0395 7791330",TQ79912907
Frediano,Pisano,"Marciano Della Chiana","Via del Caggio 22",Italy,10/27/1968,53,"0389 7521416",WY54228378
Fabrizio,Lettiere,Merici,"Via Antonio da Legnago 26",Italy,11/20/1996,25,"0398 3076911",OB10242900
Jole,Mazzi,"Albano Di Lucania","Via Miguel de Cervantes 57",Italy,11/16/2006,15,"0326 8925768",LI94951287
Valentino,Fallaci,Pumenengo,"Via Lombardi 4",Italy,1/17/1991,30,"0385 2003472",AV60843238
Ivana,Russo,Cerlongo,"Via Galileo Ferraris 138",Italy,1/4/1979,42,"0329 2480959",AC10193996
Ilda,Genovesi,"Vaglio Serra","Via Solfatara 111",Italy,5/22/1995,26,"0351 5710636",KP59696388
Cirilla,Colombo,Ligorzano,"Piazza Bovio 119",Italy,8/28/2007,14,"0330 8539122",VC29295503
Bibiana,Pinto,Bertigaro,"Via Agostino Depretis 97",Italy,1/30/1993,28,"0399 6009534",EI44905526
Loredana,Lucciano,Rossiglione,"Via Matteo Schilizzi 99",Italy,12/25/1965,55,"0391 3572538",SY36815762
Carla,Sagese,Inverigo,"Via Carlo Alberto 122",Italy,3/8/1985,36,"0328 2999578",ZF65542143
Fedro,Marcelo,Frontone,"Via Stadera 32",Italy,9/3/1968,53,"0381 6612082",QR8570974
Damiana,Pisano,"La Quercia","Via Lagrange 93",Italy,9/12/1945,76,"0381 8872189",WL84812420
Ortensio,Genovesi,Castion,"Corso Alcide De Gasperi 107",Italy,8/12/1964,57,"0340 3033599",AN22484147
Callimaco,Baresi,"Cogolo In Val Di Pejo","Via Torricelli 41",Italy,1/9/1946,75,"0367 1669300",TF55154236
Alberto,Monaldo,Campobasso,"Via degli Aldobrandeschi 45",Italy,7/18/2010,11,"0364 3070042",KZ71581682
Guglielma,Manna,"Guardia Piemontese","Via Castelfidardo 113",Italy,9/4/2005,16,"0391 9296720",PL46586527
Primo,Palermo,Seravezza,"Via Melisurgo 49",Italy,4/22/1938,83,"0385 7932323",AN20623984
Danilo,Milani,Palermo,"Via Genova 18",Italy,1/8/1977,44,"0321 5522313",HD32639640
Smeralda,Calabresi,Montegrosso,"Corso Alcide De Gasperi 98",Italy,7/2/1947,74,"0341 7084987",GE75489582
Azzurra,Palermo,"Colli Sul Velino","Via delle Coste 125",Italy,2/25/1966,55,"0341 4995866",EE87908540
Brancaleone,Iadanza,"Vigo Rendena","Via Zannoni 47",Italy,7/15/1987,34,"0360 1684653",QV65513699
Michelino,Davide,Sant'Agnello,"Via dei Fiorentini 114",Italy,3/1/1975,46,"0317 7376934",UY32304032
